,,,,,,,,,,,,,,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,México,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,Perú,Perú,Perú,Perú,Perú
Cuestionario,,,,,,,,,,,,,,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,CDMX,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Guadalajara,Guadalajara,Guadalajara,Guadalajara,Guadalajara,Guadalajara,Guadalajara,Guadalajara,CDMX,CDMX,CDMX,Merida,Merida,Bogotá,Bogotá,Bogotá,Bogotá,Bogotá,Bogotá,Medellín,Medellín,Bogotá,Medellín,Bogotá,Medellín,Cali,Cali,Cali,Medellín,Costa,Costa,Bogotá,Bogotá,Bogotá,Bucaramanga,Bogotá,Cali,Bogotá,Bogotá,Bogotá,Medellín,Medellín,Bogotá,Bogotá,Medellín,Cali,Bogotá,Lima,Lima,Lima,Lima,Lima
No. ,Bloque,Tema,Área,Preguntas MEX,Preguntas COL/PER,Prioridad,Criterio de Cumplimiento,Descripción Detallada,Evidencia Necesaria,Nivel de Riesgo,Frecuencia de Revisión,Rol Responsable,Tipo de Observación,01 DOCTORES,02 SAN ANGEL,03 POLANCO,04 SANTA FE,05 COAPA,06 SATELITE,09 CHURUBUSCO,11 AZCAPOTZALCO,12 DEL VALLE,15 LINDAVISTA,16 PEDREGAL,20 ESMERALDA,27 IZTAPALAPA,42 CP CDMX,51 SAMARA,52 MANACAR,13 TEC,10 SAN JERONIMO,17 CUMBRES,22 SAN NICOLAS,23 SANTA CATARINA,28 CARRETERA NACIONA,30 LINCOLN,38 SALTILLO CENTRO,39 MONTERREY CENTRO,43 CP MONTERREY,14 JARDINES,19 LA CALMA,21 SANTA TERESITA,25 TABACHINES,34 TLAQUEPAQUE,40 JARDINES DEL VALL,44 CP GUADALAJARA,45 ESTADIO,24 METEPEC,26 CIUDAD JUDICIAL,41 VOLCANES,31 MONTEJO,37 CANEK,01 USAQUEN,02 PARQUE 93,03 CHAPINERO,04 ACOPIO BOG,06 COLINA,08 ANDES,11 MANILA,12 LAURELES,13 CHIA,14 ENVIGADO,15 ENGATIVA,18 BELLO,22 SANTA MONICA,24 SAN FERNANDO,28 PEREIRA,29 ITAGUI,32 BARRANQUILLA,33 CARTAGENA,36 VILLA DEL PRADO,38 KENNEDY,39 SALVIO,42 CABECERA,45 VERAGUAS,46 INGENIO,50 CHICO,55 TITAN,56 SANTAFE BOG,57 SANTAFE MED,58 VIVA MED,61 CHICO CINNABON,62 FONTANAR,63 ARKADIA,64 JARDIN PLAZA,66 PLAZA CLARO CINNA,01 CP LIMA,01 SAN ISIDRO,03 LA MOLINA,06 SURQUILLO,04 LA ALBORADA
1,Seguridad y condiciones operativas,Seguridad eléctrica y de gas,City,¿Existen cables expuestos o conexiones improvisadas en zonas de producción?,¿Existen cables expuestos o conexiones improvisadas en zonas de producción?,Alta,0 cables expuestos o empates; canaletas y enchufes íntegros; gabinetes cerrados; protecciones y tapas presentes.,Orden eléctrico sin riesgos de contacto o incendio en zonas de producción.,Fotos de puntos eléctricos; acta de inspección visual.,Crítico,Mensual,Mantenimiento/Safety,Física,100%,0%,0%,100%,50%,100%,100%,100%,50%,100%,50%,100%,0%,pending,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,100%,pending,0%,50%,100%,100%,50%,0%,pending,100%,100%,100%,100%,50%,50%,100%,100%,100%,pending,100%,0%,0%,50%,100%,100%,100%,0%,100%,100%,0%,100%,0%,100%,100%,100%,pending,0%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,0%,0%,50%,50%
2,Seguridad y condiciones operativas,Seguridad eléctrica y de gas,City,¿Las tuberías de gas están protegidas y sin fugas detectables (olor / detector)?,¿Las tuberías de gas están protegidas y sin fugas detectables (olor / detector)?,Alta,0 olor a gas; prueba de fugas negativa; mangueras certificadas sin fisuras; abrazaderas firmes; válvulas accesibles y rotuladas.,"Instalación de gas segura, con componentes certificados y sin pérdidas.",Reporte de prueba de fugas; fotos de mangueras/abrazaderas; registro de mantenimiento.,Crítico,Mensual (visual) / Trimestral (prueba técnica),Mantenimiento/Safety,Física,100%,100%,0%,100%,100%,100%,100%,0%,50%,100%,0%,100%,100%,pending,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,pending,100%,100%,0%,100%,100%,100%,0%,100%,0%,pending,100%,100%,0%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,50%,100%,0%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,50%,100%,50%
3,Higiene personal y sanitaria,EPP e higiene personal,City,¿El personal usa uniforme completo (playeras y mandil)?,"¿El personal usa uniforme completo (cofia/gorra, delantal, calzado antideslizante)?",Alta,"100% del personal con uniforme completo, limpio y en buen estado; cabello recogido/cofia; sin joyas/maquillaje llamativo; uñas cortas sin esmalte; calzado antideslizante.",Apariencia profesional y control de contaminación física.,Checklist de ingreso por turno; fotos aleatorias del personal.,Crítico,Diaria / Por turno,Jefe de Cocina / Encargado de Turno,Práctica,50%,100%,0%,50%,50%,100%,50%,0%,50%,0%,50%,0%,0%,pending,50%,100%,100%,0%,50%,50%,100%,100%,100%,50%,100%,pending,100%,50%,100%,100%,100%,100%,pending,50%,100%,50%,50%,50%,50%,100%,100%,100%,pending,100%,100%,100%,50%,50%,100%,100%,100%,100%,0%,50%,50%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,50%,50%,100%,0%
4,Higiene personal y sanitaria,EPP e higiene personal,City,¿La cocina cuenta con al menos un sitio para la estación de lavado de manos?,¿La cocina cuenta con al menos un sitio para la estación de lavado de manos?,Alta,"Estaciones operativas con agua, jabón y toallas; cumplimiento ≥90% de momentos críticos; tiempo de lavado ≥20 s.",Higiene efectiva para prevenir contaminación cruzada.,Bitácora de HH por turno; observaciones Gemba; fotos de estaciones.,Crítico,Diaria / Por turno,Jefe de Cocina / Calidad,Práctica,100%,100%,100%,50%,100%,50%,100%,100%,50%,50%,100%,100%,100%,pending,100%,0%,50%,100%,50%,100%,50%,50%,100%,50%,100%,pending,100%,100%,100%,100%,50%,100%,pending,50%,100%,0%,0%,100%,0%,100%,0%,0%,pending,0%,100%,,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,,0%,0%,pending,50%,0%,0%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,50%,50%,50%,50%
5,Higiene personal y sanitaria,EPP e higiene personal,City,"¿Se observan accesorios, maquillaje o ropa inadecuada durante la operación?","¿Se observan accesorios, maquillaje o ropa inadecuada durante la operación?",Media,0 incidencias de accesorios/ropa no permitidos durante operación.,Elimina riesgos de contaminación física o atrapamiento.,Registro de no conformidades y correcciones inmediatas.,Importante,Diaria,Jefe de Cocina,Práctica,100%,100%,0%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,0%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,100%
6,Infraestructura y mantenimiento,Sistemas de agua y drenaje,Quality,¿Se cuenta con un método de comprobación de agua potable (análisis físico-químico y microbiológico)?,¿Se cuenta con un método de comprobación de agua potable (análisis físico-químico y microbiológico)?,Alta,Resultados vigentes: coliformes totales y E. coli = 0/100 mL; cloro residual 0.2–0.5 mg/L; pH 6.5–8.5.,Calidad de agua conforme a norma para uso alimentario.,Informe de laboratorio (<12 meses) y registros de cloro residual.,Crítico,Anual (laboratorio) / Mensual (cloro),Facilities/Calidad,Documental,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,pending,100%,50%,50%,50%,50%,50%,50%,50%,50%,100%,,pending,0%,0%,0%,0%,0%,0%,pending,0%,0%,50%,100%,0%,50%,0%,50%,100%,pending,0%,0%,,100%,,0%,0%,100%,,,,100%,,100%,0%,50%,pending,50%,50%,,50%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,50%,0%,0%,0%
7,Infraestructura y mantenimiento,Sistemas de agua y drenaje,Admin,¿Existen filtros de agua instalados y con mantenimiento vigente?,¿Existen filtros de agua instalados y con mantenimiento vigente?,Media,Filtros instalados donde aplica y mantenidos según plan (cambio por horas/fecha).,Filtración efectiva sin bypass; cartuchos etiquetados con fecha.,Registro de mantenimiento; fotos de filtros con fecha.,Importante,Mensual,Mantenimiento/Facilities,Física,100%,100%,0%,100%,100%,50%,100%,100%,100%,0%,0%,50%,50%,pending,,50%,50%,100%,50%,100%,50%,50%,50%,50%,50%,pending,0%,0%,100%,0%,50%,100%,pending,0%,0%,0%,0%,100%,100%,0%,0%,0%,pending,0%,0%,0%,,0%,0%,0%,0%,,,0%,100%,0%,100%,0%,0%,pending,0%,0%,,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,100%
8,Infraestructura y mantenimiento,Sistemas de agua y drenaje,City,"¿Las coladeras (de piso, tarjas y lavabos) funcionan sin obstrucciones ni malos olores?",¿Los drenajes funcionan sin obstrucciones ni malos olores?,Alta,"Drenajes operativos, sifones con sello de agua, 0 malos olores/retornos.",Evita reflujo y proliferación de plagas.,Acta de inspección; fotos; orden de limpieza de trampas.,Crítico,Semanal,Mantenimiento/Ops,Física,100%,50%,50%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,pending,100%,100%,50%,100%,100%,,100%,100%,100%,100%,100%,pending,100%,50%,0%,50%,0%,100%,pending,100%,0%,100%,100%,50%,100%,50%,100%,100%,pending,0%,100%,0%,50%,100%,100%,100%,100%,100%,0%,100%,100%,100%,0%,100%,50%,pending,100%,0%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,0%,50%,100%,100%,50%
9,Limpieza desinfección y control ambiental,Control de plagas,City,"¿Se observan signos de plagas (insectos, roedores, excretas, mordeduras)?","¿Se observan signos de plagas (insectos, roedores, excretas, mordeduras)?",Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,50%,0%,0%,0%,100%,100%,100%,0%,50%,0%,100%,100%,0%,pending,100%,100%,50%,100%,100%,100%,100%,100%,100%,50%,100%,pending,100%,50%,100%,0%,50%,100%,pending,100%,100%,100%,100%,100%,0%,0%,0%,100%,pending,100%,50%,0%,0%,100%,100%,100%,100%,0%,100%,0%,0%,0%,100%,50%,0%,pending,0%,50%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,50%
10,Limpieza desinfección y control ambiental,Control de plagas,Admin,¿Hay plan de fumigación vigente con registros del proveedor autorizado?,¿Hay plan de fumigación vigente con registros del proveedor autorizado?,Media,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,0%,50%,50%,100%,100%,100%,pending,100%,100%,50%,50%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,50%,0%,100%
11,Limpieza desinfección y control ambiental,Control de plagas,Quality,¿El personal ha sido capacitado en prevención de plagas en los últimos 6 meses?,¿El personal ha sido capacitado en prevención de plagas en los últimos 6 meses?,Media,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,100%,100%,0%,100%,100%,100%,100%,0%,100%,0%,0%,100%,100%,pending,100%,0%,100%,100%,100%,0%,100%,100%,100%,100%,0%,pending,100%,0%,100%,100%,100%,50%,pending,0%,0%,100%,0%,0%,0%,0%,0%,100%,pending,0%,0%,,0%,0%,100%,0%,0%,100%,100%,0%,50%,0%,0%,50%,50%,pending,100%,50%,100%,0%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,0%,0%,50%
12,Limpieza desinfección y control ambiental,Control de plagas,City,¿Se han cerrado los puntos de ingreso o anidación detectados?,¿Se han cerrado los puntos de ingreso o anidación detectados?,Alta,"Cumple el estándar interno especificado para el tema, sin desviaciones.",Condición/ejecución conforme a mejores prácticas para el área.,Foto/registro firmado que demuestre el cumplimiento.,Importante,Mensual,Ops,Física,50%,100%,0%,50%,50%,50%,100%,100%,50%,0%,100%,50%,50%,pending,,,50%,,0%,,0%,0%,,100%,100%,pending,100%,0%,0%,100%,100%,100%,pending,100%,,0%,,,50%,100%,100%,100%,pending,100%,100%,0%,50%,,100%,100%,0%,0%,100%,0%,50%,0%,0%,100%,50%,pending,50%,50%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,50%,0%,0%,50%
13,Seguridad y condiciones operativas,Refrigeración constante,City,¿Todos los refrigeradores y congeladores operan dentro de los rangos (0–4 °C / –18 °C)?,¿Todas las neveras y congeladores operan dentro de los rangos (0–4 °C / –18 °C)?,Alta,"Refrigeradores 0–4°C; congeladores ≤ -18°C; 0 equipos fuera de rango >15 min sin acción; puertas sellan, sin escarcha excesiva.",Cadena de frío estable con equipos mantenidos.,Lecturas por turno; bitácora; fotos del display/datalogger.,Crítico,Diaria (inicio/mitad/cierre),Jefe de Cocina/Calidad,Física,50%,100%,100%,50%,100%,100%,100%,0%,50%,50%,100%,100%,100%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,0%,100%,100%,100%,100%,pending,100%,0%,50%,0%,100%,100%,100%,100%,100%,pending,100%,100%,50%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,50%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,100%,100%,100%,100%,100%
14,Seguridad y condiciones operativas,Refrigeración constante,Quality,¿Existen registros de temperatura al menos dos veces al día?,¿Existen registros de temperatura al menos dos veces al día?,Alta,"Bitácora completa ≥2 veces/día por equipo, con acciones ante desviaciones.",Trazabilidad de cadena de frío con reacción oportuna.,Bitácoras firmadas; tickets de mantenimiento cuando aplica.,Crítico,Diaria,Jefe de Cocina/Calidad,Documental,100%,100%,100%,100%,100%,100%,100%,100%,50%,50%,100%,100%,100%,pending,100%,100%,0%,0%,50%,50%,0%,0%,50%,0%,100%,pending,0%,0%,100%,100%,100%,0%,pending,0%,100%,0%,0%,0%,0%,100%,100%,100%,pending,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,0%,50%,0%,0%,50%
15,Seguridad y condiciones operativas,Iluminación y ventilación,City,¿La iluminación permite ver claramente las áreas de trabajo?,¿La iluminación permite ver claramente las áreas de trabajo?,Alta,Luminarias operativas y protegidas (pantallas/cubiertas antiestallido).,Evita caída de vidrio y mejora visibilidad.,Fotos; registro de mantenimiento de luminarias.,Importante,Mensual,Mantenimiento,Física,50%,100%,100%,100%,50%,100%,100%,50%,50%,100%,100%,100%,50%,pending,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,pending,100%,100%,0%,100%,50%,100%,pending,100%,100%,100%,0%,100%,100%,100%,100%,100%,pending,100%,100%,50%,50%,100%,100%,100%,100%,100%,100%,50%,100%,50%,100%,100%,100%,pending,100%,100%,100%,100%,pending,pending,pending,pending,pending,pending,pending,pending,pending,50%,100%,100%,100%,50%
